Название товара;Короткое описание товара;Скрыт ли товар на сайте?;Артикул;Цена продажи, без учёта скидок;Старая цена;Закупочная цена;Остаток;Ед. измерения;Изображения товара;Короткое SEO описание товара;Полное SEO описание товара;Заголовок страницы товара;Мета-тег keywords;Мета-тег description;URL переменная пути;Описание модификации товара;Идентификатор товара в магазине;Пользовательский идентификатор товара;Название х-ки товара №1;Значение х-ки товара №1;Название х-ки товара №2;Значение х-ки товара №2;Название х-ки товара №3;Значение х-ки товара №3;Название х-ки товара №4;Значение х-ки товара №4;Название х-ки товара №5;Значение х-ки товара №5;Название х-ки товара №6;Значение х-ки товара №6;Название х-ки товара №7;Значение х-ки товара №7;Название х-ки товара №8;Значение х-ки товара №8;Название х-ки товара №9;Значение х-ки товара №9;Название х-ки товара №10;Значение х-ки товара №10;Название х-ки товара №11;Значение х-ки товара №11;Название х-ки товара №12;Значение х-ки товара №12;Название х-ки товара №13;Значение х-ки товара №13;Название х-ки товара №14;Значение х-ки товара №14;Название х-ки товара №15;Значение х-ки товара №15;Название х-ки товара №16;Значение х-ки товара №16;Название х-ки товара №17;Значение х-ки товара №17;Название х-ки товара №18;Значение х-ки товара №18;Название х-ки товара №19;Значение х-ки товара №19;Название св-ва для модификации товара №1;Значение св-ва для модификации товара №1
"Однорядная светодиодная балка ближнего света Rigid Industries 6"" SR-Серия (6 диодов)";;;90611;19 074,00;0;15 180,00;1;шт;"https://i1.stat01.com/1/5563/55627842/6e1ffd/odnoryadnaya-svetodiodnaya-balka-blizhnego-sveta-rigid-industries-6-sr-seriya-6-diodov.jpg
https://i2.stat01.com/1/5563/55627844/6e1ffd/odnoryadnaya-svetodiodnaya-balka-blizhnego-sveta-rigid-industries-6-sr-seriya-6-diodov.jpg";;;"Однорядная светодиодная балка ближнего света Rigid Industries 6"" SR-Серия (6 диодов)";led bar, лед фара, лед балка, rigid industries, интернет магазин;"Однорядная светодиодная балка ближнего света Rigid Industries 6"" SR-Серия (6 диодов) - описание, цена, фото. Светодиодные фары Rigid Industries с доставков по РФ и СНГ. Оплата при получении";Odnoryadnaya-svetodiodnaya-balka-blizhnego-sveta-Rigid-Industries-6-SR-Seriya-6-diodov;;43079092;;Класс защиты;IP69K;Рабочая температура, °С;-40...+80;Размер в дюймах;6;Дальность свечения, м.;197;Материал линзы;Ударопрочный поликарбонат;Оптическая система;Ближний свет (25°);Освещенность в 10 м, Люкс;97;Пиковая интенсивность луча, кд;9700;Производитель;Rigid Industries;Цвет корпуса;черный;Цвет свечения;белый;Токопотребление, А;17;Количество рядов;Однорядная;Количество светодиодов, шт.;6;Материал корпуса;Алюминиевый cплав;Материал крепления;нержавеющая сталь;Световой поток, Лм;2250;Срок службы светодиодов, ч;50000;Форм-фактор;балка;Модификация;Базовая
"Однорядная светодиодная балка дальнего света Rigid Industries 6"" SR-Серия (6 диодов)";;;90621;19 074,00;0;15 180,00;1;шт;https://i1.stat01.com/1/5563/55627845/6e1ffd/odnoryadnaya-svetodiodnaya-balka-dalnego-sveta-rigid-industries-6-sr-seriya-6-diodov.jpg;;;"Однорядная светодиодная балка дальнего света Rigid Industries 6"" SR-Серия (6 диодов)";led bar, лед фара, лед балка, rigid industries, интернет магазин;"Однорядная светодиодная балка дальнего света Rigid Industries 6"" SR-Серия (6 диодов) - описание, цена, фото. Светодиодные фары Rigid Industries с доставков по РФ и СНГ. Оплата при получении";Odnoryadnaya-svetodiodnaya-balka-dalnego-sveta-Rigid-Industries-6-SR-Seriya-6-diodov;;43079095;;Класс защиты;IP69K;Рабочая температура, °С;-40...+80;Размер в дюймах;6;Дальность свечения, м.;540;Материал линзы;Ударопрочный поликарбонат;Оптическая система;Дальний свет (10°);Освещенность в 10 м, Люкс;730;Пиковая интенсивность луча, кд;73000;Производитель;Rigid Industries;Цвет корпуса;черный;Цвет свечения;белый;Токопотребление, А;17;Количество рядов;Однорядная;Количество светодиодов, шт.;6;Материал корпуса;Алюминиевый cплав;Материал крепления;нержавеющая сталь;Световой поток, Лм;2250;Срок службы светодиодов, ч;50000;Форм-фактор;балка;Модификация;Базовая
"Однорядная светодиодная балка комбинированного свечения Rigid Industries 6"" SR-Серия (6 диодов)";;;90632;19 074,00;0;15 180,00;1;шт;"https://i1.stat01.com/1/5563/55627847/6e1ffd/odnoryadnaya-svetodiodnaya-balka-kombinirovannogo-svecheniya-rigid-industries-6-sr-seriya-6-diodov.jpg
https://i1.stat01.com/1/5563/55627848/6e1ffd/odnoryadnaya-svetodiodnaya-balka-kombinirovannogo-svecheniya-rigid-industries-6-sr-seriya-6-diodov.jpg
https://i2.stat01.com/1/5563/55627849/6e1ffd/odnoryadnaya-svetodiodnaya-balka-kombinirovannogo-svecheniya-rigid-industries-6-sr-seriya-6-diodov.jpg
https://i2.stat01.com/1/5563/55627855/6e1ffd/odnoryadnaya-svetodiodnaya-balka-kombinirovannogo-svecheniya-rigid-industries-6-sr-seriya-6-diodov.png";;;"Однорядная светодиодная балка комбинированного свечения Rigid Industries 6"" SR-Серия (6 диодов)";;;Odnoryadnaya-svetodiodnaya-balka-kombinirovannogo-svecheniya-Rigid-Industries-6-SR-Seriya-6-diodov;;43079096;;Класс защиты;IP67;Размер в дюймах;0;Материал линзы;Ударопрочный поликарбонат;Количество рядов;Однорядная;Материал корпуса;Алюминиевый cплав;Материал крепления;нержавеющая сталь;Форм-фактор;балка;;;;;;;;;;;;;;;;;;;;;;;;;Модификация;Базовая
"Однорядная светодиодная балка рабочего света Rigid Industries 6"" SR-Серия (6 диодов)";;;90651;19 074,00;0;15 180,00;1;шт;https://i2.stat01.com/1/5563/55627857/6e1ffd/odnoryadnaya-svetodiodnaya-balka-rabochego-sveta-rigid-industries-6-sr-seriya-6-diodov.jpg;;;"Однорядная светодиодная балка рабочего света Rigid Industries 6"" SR-Серия (6 диодов)";led bar, лед фара, лед балка, rigid industries, интернет магазин;"Однорядная светодиодная балка рабочего света Rigid Industries 6"" SR-Серия (6 диодов) - описание, цена, фото. Светодиодные фары Rigid Industries с доставков по РФ и СНГ. Оплата при получении";Odnoryadnaya-svetodiodnaya-balka-rabochego-sveta-Rigid-Industries-6-SR-Seriya-6-diodov;;43079101;;Класс защиты;IP69K;Рабочая температура, °С;-40...+80;Размер в дюймах;6;Дальность свечения, м.;82;Материал линзы;Ударопрочный поликарбонат;Оптическая система;Рабочий свет (60°);Освещенность в 10 м, Люкс;17;Пиковая интенсивность луча, кд;1700;Производитель;Rigid Industries;Цвет корпуса;черный;Цвет свечения;белый;Токопотребление, А;17;Количество рядов;Однорядная;Количество светодиодов, шт.;6;Материал корпуса;Алюминиевый cплав;Материал крепления;нержавеющая сталь;Световой поток, Лм;2250;Срок службы светодиодов, ч;50000;Форм-фактор;балка;Модификация;Базовая
"Однорядная светодиодная балка дальнего света (янтарный цвет) Rigid Industries 6"" SR-Серия (6 диодов)";;;90622;19 074,00;0;15 180,00;1;шт;"https://i2.stat01.com/1/5563/55627894/6e1ffd/odnoryadnaya-svetodiodnaya-balka-dalnego-sveta-yantarnyj-cvet-rigid-industries-6-sr-seriya-6-diodov.jpg
https://i2.stat01.com/1/5563/55627895/6e1ffd/odnoryadnaya-svetodiodnaya-balka-dalnego-sveta-yantarnyj-cvet-rigid-industries-6-sr-seriya-6-diodov.png";;;"Однорядная светодиодная балка дальнего света (янтарный цвет) Rigid Industries 6"" SR-Серия (6 диодов)";led bar, лед фара, лед балка, rigid industries, интернет магазин;"Однорядная светодиодная балка дальнего света (янтарный цвет) Rigid Industries 6"" SR-Серия (6 диодов) - описание, цена, фото. Светодиодные фары Rigid Industries с доставков по РФ и СНГ. Оплата при получении";Odnoryadnaya-svetodiodnaya-balka-dalnego-sveta-yantarnyj-cvet-Rigid-Industries-6-SR-Seriya-6-diodov;;43079124;;Класс защиты;IP69K;Рабочая температура, °С;-40...+80;Размер в дюймах;6;Дальность свечения, м.;540;Материал линзы;Ударопрочный поликарбонат;Оптическая система;Дальний свет (10°);Освещенность в 10 м, Люкс;730;Пиковая интенсивность луча, кд;73000;Производитель;Rigid Industries;Цвет корпуса;черный;Цвет свечения;янтарный;Токопотребление, А;17;Количество рядов;Однорядная;Количество светодиодов, шт.;6;Материал корпуса;Алюминиевый cплав;Материал крепления;нержавеющая сталь;Световой поток, Лм;2250;Срок службы светодиодов, ч;50000;Форм-фактор;балка;Модификация;Базовая
"Однорядная светодиодная балка ближнего света Rigid Industries 10"" SR-Серия (10 диодов)";;;91011;25 014,00;0;19 998,00;1;шт;"https://i2.stat01.com/1/5563/55627859/6e1ffd/odnoryadnaya-svetodiodnaya-balka-blizhnego-sveta-rigid-industries-10-sr-seriya-10-diodov.jpg
https://i1.stat01.com/1/5563/55627861/6e1ffd/odnoryadnaya-svetodiodnaya-balka-blizhnego-sveta-rigid-industries-10-sr-seriya-10-diodov.jpg";;;"Однорядная светодиодная балка ближнего света Rigid Industries 6"" SR-Серия (6 диодов) на ledbalka.ru. Купить однорядную светодиодную балку ближнего света Rigid Industries 6"" SR-Серия (6 диодов) в интернет магазине";led bar, лед фара, лед балка, rigid industries, интернет магазин;"Однорядная светодиодная балка ближнего света Rigid Industries 10"" SR-Серия (10 диодов) - описание, цена, фото. Светодиодные фары Rigid Industries с доставков по РФ и СНГ. Оплата при получении";Odnoryadnaya-svetodiodnaya-balka-blizhnego-sveta-Rigid-Industries-10-SR-Seriya-10-diodov;;43079103;;Класс защиты;IP69K;Рабочая температура, °С;-40...+80;Размер в дюймах;10;Дальность свечения, м.;242;Материал линзы;Ударопрочный поликарбонат;Оптическая система;Ближний свет (25°);Освещенность в 10 м, Люкс;147;Пиковая интенсивность луча, кд;14700;Производитель;Rigid Industries;Цвет корпуса;черный;Цвет свечения;белый;Токопотребление, А;2,6;Количество рядов;Однорядная;Количество светодиодов, шт.;10;Материал корпуса;Алюминиевый cплав;Материал крепления;нержавеющая сталь;Световой поток, Лм;3750;Срок службы светодиодов, ч;50000;Форм-фактор;балка;Модификация;Базовая
"Однорядная светодиодная балка дальнего света Rigid Industries 10"" SR-Серия (10 диодов)";;;91021;25 014,00;0;20 011,00;1;шт;"https://i2.stat01.com/1/5563/55627862/6e1ffd/odnoryadnaya-svetodiodnaya-balka-dalnego-sveta-rigid-industries-10-sr-seriya-10-diodov.jpg
https://i1.stat01.com/1/5563/55627863/6e1ffd/odnoryadnaya-svetodiodnaya-balka-dalnego-sveta-rigid-industries-10-sr-seriya-10-diodov.jpg";;;"Однорядная светодиодная балка дальнего света Rigid Industries 6"" SR-Серия (6 диодов) на ledbalka.ru. Купить однорядную светодиодную балку дальнего света Rigid Industries 6"" SR-Серия (6 диодов) в интернет магазине";led bar, лед фара, лед балка, rigid industries, интернет магазин;"Однорядная светодиодная балка дальнего света Rigid Industries 10"" SR-Серия (10 диодов) - описание, цена, фото. Светодиодные фары Rigid Industries с доставков по РФ и СНГ. Оплата при получении";Odnoryadnaya-svetodiodnaya-balka-dalnego-sveta-Rigid-Industries-10-SR-Seriya-10-diodov;;43079106;;Класс защиты;IP69K;Рабочая температура, °С;-40...+80;Размер в дюймах;10;Дальность свечения, м.;718;Материал линзы;Ударопрочный поликарбонат;Оптическая система;Дальний свет (10°);Освещенность в 10 м, Люкс;1290;Пиковая интенсивность луча, кд;129000;Производитель;Rigid Industries;Цвет корпуса;черный;Цвет свечения;белый;Токопотребление, А;2,6;Количество рядов;Однорядная;Количество светодиодов, шт.;10;Материал корпуса;Алюминиевый cплав;Материал крепления;нержавеющая сталь;Световой поток, Лм;3750;Срок службы светодиодов, ч;50000;Форм-фактор;балка;Модификация;Базовая
"Однорядная светодиодная балка комбинированного свечения Rigid Industries 10"" SR-Серия (10 диодов)";;;91031;25 014,00;0;20 011,00;1;шт;"https://i1.stat01.com/1/5563/55627866/6e1ffd/odnoryadnaya-svetodiodnaya-balka-kombinirovannogo-svecheniya-rigid-industries-10-sr-seriya-10-diodov.jpg
https://i2.stat01.com/1/5563/55627867/6e1ffd/odnoryadnaya-svetodiodnaya-balka-kombinirovannogo-svecheniya-rigid-industries-10-sr-seriya-10-diodov.jpg";;;"Однорядная светодиодная балка комбинированного свечения Rigid Industries 6"" SR-Серия (6 диодов) на ledbalka.ru. Купить однорядную светодиодную балку комбинированного свечения Rigid Industries 6"" SR-Серия (6 диодов) в интернет магазине";led bar, лед фара, лед балка, rigid industries, интернет магазин;"Однорядная светодиодная балка комбинированного свечения Rigid Industries 10"" SR-Серия (10 диодов) - описание, цена, фото. Светодиодные фары Rigid Industries с доставков по РФ и СНГ. Оплата при получении";Odnoryadnaya-svetodiodnaya-balka-kombinirovannogo-svecheniya-Rigid-Industries-10-SR-Seriya-10-diodov;;43079107;;Класс защиты;IP69K;Рабочая температура, °С;-40...+80;Размер в дюймах;10;Дальность свечения, м.;583;Материал линзы;Ударопрочный поликарбонат;Оптическая система;Комбинированный свет (ближний + дальний);Освещенность в 10 м, Люкс;850;Пиковая интенсивность луча, кд;85000;Производитель;Rigid Industries;Цвет корпуса;черный;Цвет свечения;белый;Токопотребление, А;2,6;Количество рядов;Однорядная;Количество светодиодов, шт.;10;Материал корпуса;Алюминиевый cплав;Материал крепления;нержавеющая сталь;Световой поток, Лм;3750;Срок службы светодиодов, ч;50000;Форм-фактор;балка;Модификация;Базовая
"Однорядная светодиодная балка рабочего света Rigid Industries 10"" SR-Серия (10 диодов)";;;91051;25 014,00;0;20 011,00;1;шт;"https://i2.stat01.com/1/5563/55627869/6e1ffd/odnoryadnaya-svetodiodnaya-balka-rabochego-sveta-rigid-industries-10-sr-seriya-10-diodov.jpg
https://i2.stat01.com/1/5563/55627870/6e1ffd/odnoryadnaya-svetodiodnaya-balka-rabochego-sveta-rigid-industries-10-sr-seriya-10-diodov.jpg";;;"Однорядная светодиодная балка рабочего света Rigid Industries 6"" SR-Серия (6 диодов) на ledbalka.ru. Купить однорядную светодиодную балку рабочего света Rigid Industries 6"" SR-Серия (6 диодов) в интернет магазине";led bar, лед фара, лед балка, rigid industries, интернет магазин;"Однорядная светодиодная балка рабочего света Rigid Industries 10"" SR-Серия (10 диодов) - описание, цена, фото. Светодиодные фары Rigid Industries с доставков по РФ и СНГ. Оплата при получении";Odnoryadnaya-svetodiodnaya-balka-rabochego-sveta-Rigid-Industries-10-SR-Seriya-10-diodov;;43079110;;Класс защиты;IP69K;Рабочая температура, °С;-40...+80;Размер в дюймах;10;Дальность свечения, м.;108;Материал линзы;Ударопрочный поликарбонат;Оптическая система;Рабочий свет (60°);Освещенность в 10 м, Люкс;29;Пиковая интенсивность луча, кд;2900;Производитель;Rigid Industries;Цвет корпуса;черный;Цвет свечения;белый;Токопотребление, А;2,6;Количество рядов;Однорядная;Количество светодиодов, шт.;10;Материал корпуса;Алюминиевый cплав;Материал крепления;нержавеющая сталь;Световой поток, Лм;3750;Срок службы светодиодов, ч;50000;Форм-фактор;балка;Модификация;Базовая
"Однорядная светодиодная балка дальнего света (янтарный цвет) Rigid Industries 10"" SR-Серия (10 диодов)";;;91022;25 014,00;0;19 998,00;1;шт;"https://i2.stat01.com/1/5563/55627897/6e1ffd/odnoryadnaya-svetodiodnaya-balka-dalnego-sveta-yantarnyj-cvet-rigid-industries-10-sr-seriya-10-diodov.jpg
https://i2.stat01.com/1/5563/55627898/6e1ffd/odnoryadnaya-svetodiodnaya-balka-dalnego-sveta-yantarnyj-cvet-rigid-industries-10-sr-seriya-10-diodov.png";;;"Однорядная светодиодная балка дальнего света (янтарный цвет) Rigid Industries 6"" SR-Серия (6 диодов) на ledbalka.ru. Купить однорядную светодиодную балку дальнего света (янтарный цвет) Rigid Industries 6"" SR-Серия (6 диодов) в интернет магазине";led bar, лед фара, лед балка, rigid industries, интернет магазин;"Однорядная светодиодная балка дальнего света (янтарный цвет) Rigid Industries 10"" SR-Серия (10 диодов) - описание, цена, фото. Светодиодные фары Rigid Industries с доставков по РФ и СНГ. Оплата при получении";Odnoryadnaya-svetodiodnaya-balka-dalnego-sveta-yantarnyj-cvet-Rigid-Industries-10-SR-Seriya-10-diodov;;43079126;;Класс защиты;IP69K;Рабочая температура, °С;-40...+80;Размер в дюймах;10;Дальность свечения, м.;718;Материал линзы;Ударопрочный поликарбонат;Оптическая система;Дальний свет (10°);Освещенность в 10 м, Люкс;1290;Пиковая интенсивность луча, кд;129000;Производитель;Rigid Industries;Цвет корпуса;черный;Цвет свечения;янтарный;Токопотребление, А;2,6;Количество рядов;Однорядная;Количество светодиодов, шт.;10;Материал корпуса;Алюминиевый cплав;Материал крепления;нержавеющая сталь;Световой поток, Лм;3750;Срок службы светодиодов, ч;50000;Форм-фактор;балка;Модификация;Базовая
